,,,,,,,,,,,,Team Key,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Houston Astros,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Washington Nationals,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,New York Yankees,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,St. Louis Cardinals,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Los Angeles Dodgers,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tampa Bay Rays,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Minnesota Twins,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Atlanta Braves,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Cleveland Indians,9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Chicago Cubs,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Detroit Tigers,11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Baltimore Orioles,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Miami Marlins,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Oakland Athletics,14,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Arizona Diamond Backs,15,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Boston Red Sox,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Cincinnati Reds,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Colorado Rockies,18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Kansas City Royals,19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Los Angeles Angels,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Milwaukee Brewers,21,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,New York Mets,22,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Philadelphia Phillies,23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pittsburgh Pirates,24,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,San Diego Padres,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,San Francisco Giants ,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Seattle Mariners,27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Texas Rangers,28,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Toronto Blue Jays,29,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Score,Visitor Score,Result,Units Won,Event Date,Home Team,Visitor Team,Opp Starter Innings,Opp Starter WHIP,Opp Starter ERA,Head Official,Starter Innings,Starter WHIP,Starter ERA,Series Game #,Opp Games in Last N Days,Games in Last N Days,Opponent Game Number,Game Number,Open Total Range,Season,Pitcher,Visitor Time Zone,Home Time Zone,Day Of Week,Time of Day,Opposing Division,Division,Opposing Conference,Conference,Opp Pitcher Throws,Pitcher Throws,Opposing Pitcher,Home / Visitor,Moneyline Range,Spread Juice Range,Spread Range
2,6,0,-100,10/30/2019,Houston Astros,Washington Nationals,196.33,1.01,2.84,Jim Wolf,227,1.02,3.25,7,6,7,181,181,7.5,2019,Z GREINKE,Eastern,Central,Wednesday,20,National League East,American League West,NL,AL,R,R,M SCHERZER,Home,-136,154,-1.5
2,7,0,-100,10/29/2019,Houston Astros,Washington Nationals,234,1.01,3.19,Sam Holbrook,253.33,0.85,2.77,6,5,7,180,180,7.5,2019,J VERLANDER,Eastern,Central,Tuesday,20,National League East,American League West,NL,AL,R,R,S STRASBURG,Home,-175,126,-1.5
1,7,0,-100,10/27/2019,Washington Nationals,Houston Astros,242,0.9,2.42,Lance Barksdale,44.67,1.46,3.02,5,8,5,179,179,7,2019,J ROSS,Central,Eastern,Sunday,20,American League West,National League East,AL,NL,R,R,G COLE,Home,201,122,1.5
1,8,0,-100,10/26/2019,Washington Nationals,Houston Astros,34,1.12,4.24,James Hoye,213,1.18,3.3,4,7,5,178,178,8.5,2019,P CORBIN,Central,Eastern,Saturday,20,American League West,National League East,AL,NL,R,L,J URQUIDY,Home,-102,-173,1.5
1,4,0,-100,10/25/2019,Washington Nationals,Houston Astros,222.33,1,3.28,Gary Cederstrom,178.67,1.17,3.58,3,7,5,177,177,7,2019,A SANCHEZ,Central,Eastern,Friday,20,American League West,National League East,AL,NL,R,R,Z GREINKE,Home,134,-129,1.5
3,12,0,-100,10/23/2019,Houston Astros,Washington Nationals,228,1.01,3.2,Doug Eddings,247.33,0.83,2.69,2,5,7,176,176,7.5,2019,J VERLANDER,Eastern,Central,Wednesday,20,National League East,American League West,NL,AL,R,R,S STRASBURG,Home,-179,123,-1.5
4,5,0,-100,10/22/2019,Houston Astros,Washington Nationals,191.33,1,2.82,Alan Porter,235,0.89,2.3,1,5,7,175,175,7,2019,G COLE,Eastern,Central,Tuesday,20,National League East,American League West,NL,AL,R,R,M SCHERZER,Home,-190,119,-1.5
6,4,1,84,10/19/2019,Houston Astros,New York Yankees,19.33,1.35,3.72,Marvin Hudson,80.67,1.18,4.24,5,5,6,172,173,8.5,2019,B PEACOCK,Eastern,Central,Saturday,20,American League East,American League West,AL,AL,R,R,C GREEN,Home,-119,171,-1.5
4,1,1,127,10/18/2019,New York Yankees,Houston Astros,240.33,0.83,2.62,Mark Carlson,157.67,1.3,3.88,4,6,5,172,171,7.5,2019,J PAXTON,Central,Eastern,Friday,19,American League West,American League East,AL,AL,R,L,J VERLANDER,Home,127,-138,1.5
3,8,0,-100,10/17/2019,New York Yankees,Houston Astros,218.33,0.99,3.3,Dan Bellino,190,1.19,4.26,4,6,5,171,170,7.5,2019,M TANAKA,Central,Eastern,Thursday,20,American League West,American League East,AL,AL,R,R,Z GREINKE,Home,-135,141,-1.5
7,4,1,62.1,10/15/2019,Washington Nationals,St Louis Cardinals,178.67,1.37,3.32,Phil Cuzzi,208,1.18,3.2,4,6,6,171,172,8,2019,P CORBIN,Central,Eastern,Tuesday,20,National League Central,National League East,NL,NL,R,L,DAK HUDSON,Home,-161,129,-1.5
1,4,0,-100,10/15/2019,New York Yankees,Houston Astros,228,0.87,2.37,Jeff Nelson,16,1.12,1.12,3,6,5,170,169,7.5,2019,L SEVERINO,Central,Eastern,Tuesday,16,American League West,American League East,AL,AL,R,R,G COLE,Home,136,-127,1.5
